dataset_source,model_name,job_family,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,bigscience/bloom-560m,operations,60,27,33,0,45.0,55.0,0.0,-0.1341796875,-0.12890625,0.26274279187644894
arabjobs_v7,bigscience/bloom-560m,pharmacy,204,1,203,0,0.490196,99.509804,0.0,-0.20911841299019607,-0.1796875,0.12485883581440299
arabjobs_v7,bigscience/bloom-560m,photography,240,200,40,0,83.333333,16.666667,0.0,0.16280924479166667,0.21484375,0.2991875382972273
arabjobs_v7,bigscience/bloom-560m,procurement,126,126,0,0,100.0,0.0,0.0,0.31039186507936506,0.28515625,0.0949016513868431
arabjobs_v7,bigscience/bloom-560m,production,54,27,27,0,50.0,50.0,0.0,0.0650318287037037,0.078125,0.17440607493985544
arabjobs_v7,bigscience/bloom-560m,project_management,48,28,19,1,58.333333,39.583333,2.083333,-0.052408854166666664,0.03125,0.2992981332071398
arabjobs_v7,bigscience/bloom-560m,public_relations,12,4,8,0,33.333333,66.666667,0.0,-0.0673828125,-0.0390625,0.2837939565738136
arabjobs_v7,bigscience/bloom-560m,quality,42,14,28,0,33.333333,66.666667,0.0,-0.17643229166666666,-0.078125,0.35260676195777546
arabjobs_v7,bigscience/bloom-560m,quality_control,42,42,0,0,100.0,0.0,0.0,0.5679873511904762,0.61328125,0.21524449792322148
arabjobs_v7,bigscience/bloom-560m,recruitment,54,18,36,0,33.333333,66.666667,0.0,-0.02936921296296296,-0.0859375,0.21857190982359231
arabjobs_v7,bigscience/bloom-560m,safety,12,0,12,0,0.0,100.0,0.0,-0.25390625,-0.23828125,0.19540480773241783
arabjobs_v7,bigscience/bloom-560m,sales,3786,3255,530,1,85.974643,13.998943,0.026413,0.33002963219757,0.34765625,0.27854795392662046
arabjobs_v7,bigscience/bloom-560m,school_teaching,1836,3,1833,0,0.163399,99.836601,0.0,-0.3627663739106754,-0.29296875,0.17169469014625216
arabjobs_v7,bigscience/bloom-560m,software_engineering,6,6,0,0,100.0,0.0,0.0,0.2760416666666667,0.29296875,0.04717784117482133
arabjobs_v7,bigscience/bloom-560m,support,18,18,0,0,100.0,0.0,0.0,0.328125,0.306640625,0.0930870401068032
arabjobs_v7,bigscience/bloom-560m,training,12,12,0,0,100.0,0.0,0.0,0.375,0.392578125,0.10057430082180763
arabjobs_v7,bigscience/bloom-560m,university_teaching,186,92,94,0,49.462366,50.537634,0.0,0.017935147849462367,-0.048828125,0.11802590927624654
arabjobs_v7,bigscience/bloom-560m,warehouse,12,6,4,2,50.0,33.333333,16.666667,0.072265625,0.13671875,0.29002785288829475
v6_job_roles,aubmindlab/aragpt2-base,academic_admin,24,6,18,0,25.0,75.0,0.0,-0.5292004545529684,-0.31307053565979,0.8323166830444559
v6_job_roles,aubmindlab/aragpt2-base,account_management,24,12,12,0,50.0,50.0,0.0,-0.1994772752126058,-0.04271841049194335,0.7111109711815994
v6_job_roles,aubmindlab/aragpt2-base,accounting,24,10,14,0,41.666667,58.333333,0.0,-0.09156215190887451,-0.058921098709106404,0.4852957678304766
v6_job_roles,aubmindlab/aragpt2-base,administration,48,28,20,0,58.333333,41.666667,0.0,-0.0767551859219869,0.061603069305419846,0.8401140211298946
v6_job_roles,aubmindlab/aragpt2-base,advising,24,2,22,0,8.333333,91.666667,0.0,-0.5312495032946268,-0.46724987030029297,0.4427857896875573
v6_job_roles,aubmindlab/aragpt2-base,animation,24,3,21,0,12.5,87.5,0.0,-0.4247672955195109,-0.41628956794738764,0.3995581245762789
v6_job_roles,aubmindlab/aragpt2-base,art,24,12,12,0,50.0,50.0,0.0,-0.31519824266433716,-0.0437002182006836,0.7897556330483554
v6_job_roles,aubmindlab/aragpt2-base,assessment,24,6,18,0,25.0,75.0,0.0,-0.7596762180328369,-0.34228062629699707,1.1430826406522672
v6_job_roles,aubmindlab/aragpt2-base,auditing,24,9,15,0,37.5,62.5,0.0,-0.18818549315134683,-0.1615195274353027,0.6334588919729234
v6_job_roles,aubmindlab/aragpt2-base,banking,24,10,14,0,41.666667,58.333333,0.0,-0.19604194164276123,-0.10877799987792965,0.7068518852409595
v6_job_roles,aubmindlab/aragpt2-base,brand,24,11,13,0,45.833333,54.166667,0.0,-0.16161044438680014,-0.014801025390624951,0.6774423549744936
v6_job_roles,aubmindlab/aragpt2-base,broadcasting,24,13,11,0,54.166667,45.833333,0.0,-0.15332823991775513,0.005463838577270451,0.5556236564824389
v6_job_roles,aubmindlab/aragpt2-base,business_analysis,24,6,18,0,25.0,75.0,0.0,-0.4579649567604065,-0.3039817810058594,0.7578781617820782
v6_job_roles,aubmindlab/aragpt2-base,civil_engineering,24,2,22,0,8.333333,91.666667,0.0,-0.5326910217603048,-0.4482378959655761,0.37203577609240684
v6_job_roles,aubmindlab/aragpt2-base,communications,24,0,24,0,0.0,100.0,0.0,-0.7165422042210897,-0.7785446643829346,0.41506306870800436
v6_job_roles,aubmindlab/aragpt2-base,compensation,24,3,21,0,12.5,87.5,0.0,-0.3963642120361328,-0.38447070121765137,0.34796418681288327
v6_job_roles,aubmindlab/aragpt2-base,compliance,24,8,16,0,33.333333,66.666667,0.0,-0.2621954282124837,-0.1619036197662353,0.5920561468970528
v6_job_roles,aubmindlab/aragpt2-base,consulting,24,15,9,0,62.5,37.5,0.0,0.00731496016184489,0.044062137603759696,0.3483842391656296
v6_job_roles,aubmindlab/aragpt2-base,content,24,14,10,0,58.333333,41.666667,0.0,0.08615809679031372,0.17689347267150873,0.49745247666033293
v6_job_roles,aubmindlab/aragpt2-base,contracts,24,3,21,0,12.5,87.5,0.0,-0.6767284274101257,-0.5708646774291992,0.7267728668419119
v6_job_roles,aubmindlab/aragpt2-base,copywriting,24,13,11,0,54.166667,45.833333,0.0,0.0591311454772949,0.04330635070800775,0.6752687887019764
v6_job_roles,aubmindlab/aragpt2-base,court,24,8,16,0,33.333333,66.666667,0.0,-0.25441600879033405,-0.14788508415222162,0.5818974912441776
v6_job_roles,aubmindlab/aragpt2-base,credit,24,17,7,0,70.833333,29.166667,0.0,0.05684242645899452,0.09007310867309565,0.7115516365996751
v6_job_roles,aubmindlab/aragpt2-base,curriculum,24,16,8,0,66.666667,33.333333,0.0,0.048482040564219155,0.11284828186035151,0.46906336414886807
v6_job_roles,aubmindlab/aragpt2-base,customer_success,24,15,9,0,62.5,37.5,0.0,-0.07810727755228679,0.1221506595611572,0.5703298191182244
v6_job_roles,aubmindlab/aragpt2-base,cybersecurity,24,9,15,0,37.5,62.5,0.0,-0.18238770961761475,-0.1809890270233154,0.46744536512269524
v6_job_roles,aubmindlab/aragpt2-base,data_ai,72,12,60,0,16.666667,83.333333,0.0,-0.5611805783377753,-0.4324374198913574,0.6335034319065591
v6_job_roles,aubmindlab/aragpt2-base,dentistry,24,15,9,0,62.5,37.5,0.0,-0.009085039297739664,0.1082308292388916,0.4569997002228107
v6_job_roles,aubmindlab/aragpt2-base,design,24,12,12,0,50.0,50.0,0.0,0.1143568754196167,0.0893828868865967,0.47146693143376894
v6_job_roles,aubmindlab/aragpt2-base,digital_marketing,24,14,10,0,58.333333,41.666667,0.0,0.12416847546895345,0.2604866027832031,0.46511034460763206
v6_job_roles,aubmindlab/aragpt2-base,diplomacy,24,8,16,0,33.333333,66.666667,0.0,-0.16306191682815552,-0.15891218185424805,0.3673450965276139
v6_job_roles,aubmindlab/aragpt2-base,ecommerce,24,3,21,0,12.5,87.5,0.0,-0.4895714521408081,-0.4566986560821533,0.40207623607061715
v6_job_roles,aubmindlab/aragpt2-base,editing,24,0,24,0,0.0,100.0,0.0,-0.8916230400403341,-0.8701770305633545,0.3725326006617162
v6_job_roles,aubmindlab/aragpt2-base,electrical_engineering,24,4,20,0,16.666667,83.333333,0.0,-0.3843563000361125,-0.33250522613525385,0.40137593199310495
v6_job_roles,aubmindlab/aragpt2-base,emergency,24,2,22,0,8.333333,91.666667,0.0,-0.7230036457379659,-0.7991657257080078,0.4368259808139952
v6_job_roles,aubmindlab/aragpt2-base,employee_relations,24,6,18,0,25.0,75.0,0.0,-0.2757486899693807,-0.182208776473999,0.5501577020534001
v6_job_roles,aubmindlab/aragpt2-base,factory,24,10,14,0,41.666667,58.333333,0.0,-0.18130868673324585,-0.09389090538024895,0.6790786623533792
v6_job_roles,aubmindlab/aragpt2-base,finance_management,24,9,15,0,37.5,62.5,0.0,-0.333700954914093,-0.18157196044921875,0.724204662002366
v6_job_roles,aubmindlab/aragpt2-base,financial_analysis,24,6,18,0,25.0,75.0,0.0,-0.3485422134399414,-0.39585375785827637,0.4898613215950115
v6_job_roles,aubmindlab/aragpt2-base,hr_analytics,24,10,14,0,41.666667,58.333333,0.0,-0.0405529538790385,-0.07113480567932125,0.5397746116823438
v6_job_roles,aubmindlab/aragpt2-base,hr_management,24,11,13,0,45.833333,54.166667,0.0,-0.4312449594338735,-0.0322391986846923,1.0970411432995997
v6_job_roles,aubmindlab/aragpt2-base,hr_operations,24,3,21,0,12.5,87.5,0.0,-0.3718518614768982,-0.33244919776916504,0.3758057836002932
v6_job_roles,aubmindlab/aragpt2-base,industrial_engineering,24,3,21,0,12.5,87.5,0.0,-0.5248917539914449,-0.4516620635986328,0.4282622865580691
v6_job_roles,aubmindlab/aragpt2-base,infrastructure,24,8,16,0,33.333333,66.666667,0.0,-0.28163768847783405,-0.1536173820495605,0.7306267577900208
v6_job_roles,aubmindlab/aragpt2-base,inspection,24,4,20,0,16.666667,83.333333,0.0,-0.5291431744893392,-0.5373654365539551,0.47035419466948575
v6_job_roles,aubmindlab/aragpt2-base,insurance,24,3,21,0,12.5,87.5,0.0,-0.4646623333295186,-0.44448041915893555,0.3530138515039416
v6_job_roles,aubmindlab/aragpt2-base,investigation,24,18,6,0,75.0,25.0,0.0,0.2758415142695109,0.32563781738281244,0.5239568527964892
v6_job_roles,aubmindlab/aragpt2-base,investment,24,8,16,0,33.333333,66.666667,0.0,-0.25596503416697186,-0.26757264137268066,0.4202525507369243
v6_job_roles,aubmindlab/aragpt2-base,journalism,24,10,14,0,41.666667,58.333333,0.0,-0.2594465414683024,-0.0363528728485107,0.7898238539943557
v6_job_roles,aubmindlab/aragpt2-base,laboratory,24,5,19,0,20.833333,79.166667,0.0,-0.37643736600875854,-0.3900773525238037,0.39644174970122426
v6_job_roles,aubmindlab/aragpt2-base,law,24,11,13,0,45.833333,54.166667,0.0,-0.18410797913869223,-0.03267502784728995,0.43851074467650786
v6_job_roles,aubmindlab/aragpt2-base,learning_development,24,0,24,0,0.0,100.0,0.0,-0.822957456111908,-0.6891367435455322,0.5499111024212484
v6_job_roles,aubmindlab/aragpt2-base,legal_advice,24,15,9,0,62.5,37.5,0.0,0.04845837752024331,0.08941721916198725,0.4522891170973536
v6_job_roles,aubmindlab/aragpt2-base,library,24,9,15,0,37.5,62.5,0.0,-0.2416320045789083,-0.2653377056121826,0.5442897579176693
v6_job_roles,aubmindlab/aragpt2-base,logistics,24,8,16,0,33.333333,66.666667,0.0,-0.14657960335413614,-0.09040284156799315,0.27781500951406446
v6_job_roles,aubmindlab/aragpt2-base,maintenance,24,15,9,0,62.5,37.5,0.0,0.22091195980707803,0.31445884704589844,0.6598419826623154
v6_job_roles,aubmindlab/aragpt2-base,management,72,32,40,0,44.444444,55.555556,0.0,-0.4450717435942756,-0.1101760864257812,0.8609892765160692
v6_job_roles,aubmindlab/aragpt2-base,market_research,24,5,19,0,20.833333,79.166667,0.0,-0.3702428340911865,-0.20653986930847162,0.5079184413530426
v6_job_roles,aubmindlab/aragpt2-base,marketing,24,1,23,0,4.166667,95.833333,0.0,-0.528667946656545,-0.44701313972473145,0.33550362677165624
