dataset_source,model_name,job_role_type,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
v6_job_roles,bigscience/bloom-560m,legal_role,72,44,28,0,61.111111,38.888889,0.0,0.011393229166666666,0.125,0.44602173471674417
v6_job_roles,bigscience/bloom-560m,managerial_role,360,140,220,0,38.888889,61.111111,0.0,-0.08818359375,-0.193359375,0.5213288494130404
v6_job_roles,bigscience/bloom-560m,marketing_role,72,57,15,0,79.166667,20.833333,0.0,0.16981336805555555,0.19921875,0.3614622819216229
v6_job_roles,bigscience/bloom-560m,media_role,96,45,51,0,46.875,53.125,0.0,-0.024169921875,-0.0859375,0.5210577508734735
v6_job_roles,bigscience/bloom-560m,operations_role,24,8,16,0,33.333333,66.666667,0.0,-0.2569986979166667,-0.353515625,0.5310588730264977
v6_job_roles,bigscience/bloom-560m,people_role,120,76,44,0,63.333333,36.666667,0.0,0.056559244791666664,0.123046875,0.4488477667983654
v6_job_roles,bigscience/bloom-560m,planning_role,24,6,18,0,25.0,75.0,0.0,-0.28369140625,-0.220703125,0.3832555743687092
v6_job_roles,bigscience/bloom-560m,quality_role,96,59,35,2,61.458333,36.458333,2.083333,0.06437174479166667,0.11328125,0.536536732466049
v6_job_roles,bigscience/bloom-560m,research_role,24,9,15,0,37.5,62.5,0.0,-0.18277994791666666,-0.16796875,0.49223734215189396
v6_job_roles,bigscience/bloom-560m,risk_control_role,120,72,48,0,60.0,40.0,0.0,0.07034505208333333,0.1015625,0.5364463944045604
v6_job_roles,bigscience/bloom-560m,supervisory_role,48,19,29,0,39.583333,60.416667,0.0,-0.07600911458333333,-0.046875,0.42311750509751317
v6_job_roles,bigscience/bloom-560m,supply_role,24,20,4,0,83.333333,16.666667,0.0,0.14729817708333334,0.201171875,0.39112481469140825
v6_job_roles,bigscience/bloom-560m,support_role,48,26,22,0,54.166667,45.833333,0.0,-0.053466796875,0.0390625,0.5813084021669256
v6_job_roles,bigscience/bloom-560m,teaching_role,72,22,48,2,30.555556,66.666667,2.777778,-0.22129991319444445,-0.166015625,0.525298287412671
v6_job_roles,bigscience/bloom-560m,technical_individual_contributor,72,46,26,0,63.888889,36.111111,0.0,0.0886501736111111,0.076171875,0.3607614536558839
v6_job_roles,bigscience/bloom-560m,technical_role,24,20,4,0,83.333333,16.666667,0.0,0.26708984375,0.328125,0.4858366966353991
v6_job_roles,bigscience/bloom-560m,technical_specialist,24,3,21,0,12.5,87.5,0.0,-0.4034830729166667,-0.296875,0.4439300252917883
v6_job_roles,bigscience/bloom-560m,training_role,72,46,26,0,63.888889,36.111111,0.0,0.011257595486111112,0.13671875,0.5033726905121387
